data_id;hb_state;cm4_state;pp_thrust;av_alti;tvc_thrust;tvc_alti;tvc_vel;padding;time
119;2;1;0;0;3000;41;2463;0;35702
120;2;1;0;0;3000;41;2463;0;35702
121;2;1;0;0;3000;41;2463;0;35712
122;2;1;0;0;3000;41;2463;0;35722
123;2;1;0;0;3000;41;2463;0;35722
124;2;1;0;0;3000;41;2463;0;35732
125;2;1;0;0;3000;41;2463;0;35732
126;2;1;0;0;3000;41;2463;0;35742
127;2;1;0;0;3000;41;2463;0;35742
128;2;1;0;0;3000;41;2463;0;35752
129;2;1;0;0;3000;41;2463;0;35782
130;2;1;0;0;3000;41;2463;0;35792
131;2;1;0;0;3000;41;2463;0;35802
132;2;1;0;0;3000;41;2463;0;35802
133;2;1;0;0;3000;41;2463;0;35812
134;2;1;0;0;3000;41;2463;0;35812
135;2;1;0;0;3000;41;2463;0;35822
136;2;1;0;0;3000;41;2463;0;35822
137;2;1;0;0;3000;41;2463;0;35832
138;2;1;0;0;3000;41;2463;0;35832
139;2;1;0;0;3000;41;2463;0;35842
140;2;1;0;0;3000;41;2463;0;35842
141;2;1;0;0;3000;41;2463;0;35852
142;2;1;0;0;3000;41;2463;0;35852
143;2;1;0;0;3000;41;2463;0;35862
144;2;1;0;0;3000;41;2463;0;35862
145;2;1;0;0;3000;41;2463;0;35872
146;2;1;0;0;3000;41;2463;0;35872
147;2;1;0;0;3000;41;2463;0;35892
148;2;1;0;0;3000;41;2463;0;35912
149;2;1;0;0;3000;41;2463;0;35912
150;2;1;0;0;3000;41;2463;0;35922
151;2;1;0;0;3000;41;2463;0;35922
152;2;1;0;0;3000;41;2463;0;35942
153;2;1;0;0;3000;41;2463;0;35942
154;2;1;0;0;3000;41;2463;0;35952
155;2;1;0;0;3000;41;2463;0;35952
156;2;1;0;0;3000;41;2463;0;35962
157;2;1;0;0;3000;41;2463;0;35962
158;2;1;0;0;3000;41;2463;0;35972
159;2;1;0;0;3000;41;2463;0;35972
160;2;1;0;0;3000;41;2463;0;35992
161;2;1;0;0;3000;41;2463;0;36012
162;2;1;0;0;3000;41;2463;0;36022
163;2;1;0;0;3000;41;2463;0;36032
164;2;1;0;0;3000;41;2463;0;36042
165;2;1;0;0;3000;41;2463;0;36052
166;2;1;0;0;3000;41;2463;0;36052
167;2;1;0;0;3000;41;2463;0;36072
168;2;1;0;0;3000;41;2463;0;36072
169;2;1;0;0;3000;41;2463;0;36092
170;2;1;0;0;3000;41;2463;0;36112
171;2;1;0;0;3000;41;2463;0;36122
172;2;1;0;0;3000;41;2463;0;36132
173;2;1;0;0;3000;41;2463;0;36142
174;2;1;0;0;3000;41;2463;0;36152
175;2;1;0;0;3000;41;2463;0;36162
176;2;1;0;0;3000;41;2463;0;36172
177;2;1;0;0;3000;41;2463;0;36182
178;2;1;0;0;3000;41;2463;0;36192
179;2;1;0;0;3000;41;2463;0;36212
180;2;1;0;0;3000;41;2463;0;36222
181;2;1;0;0;3000;41;2463;0;36222
182;2;1;0;0;3000;41;2463;0;36232
183;2;1;0;0;3000;41;2463;0;36242
184;2;1;0;0;3000;41;2463;0;36252
185;2;1;0;0;3000;41;2463;0;36252
186;2;1;0;0;3000;41;2463;0;36272
187;2;1;0;0;3000;41;2463;0;36272
188;2;1;0;0;3000;41;2463;0;36292
189;2;1;0;0;3000;41;2463;0;36312
190;2;1;0;0;3000;41;2463;0;36322
191;2;1;0;0;3000;41;2463;0;36332
192;2;1;0;0;3000;41;2463;0;36342
193;2;1;0;0;3000;41;2463;0;36352
194;2;1;0;0;3000;41;2463;0;36362
195;2;1;0;0;3000;41;2463;0;36372
196;2;1;0;0;3000;41;2463;0;36382
197;2;1;0;0;3000;41;2463;0;36402
198;2;1;0;0;3000;41;2463;0;36412
199;2;1;0;0;3000;41;2463;0;36412
200;2;1;0;0;3000;41;2463;0;36422
201;2;1;0;0;3000;41;2463;0;36432
202;2;1;0;0;3000;41;2463;0;36442
203;2;1;0;0;3000;41;2463;0;36452
204;2;1;0;0;3000;41;2463;0;36462
205;2;1;0;0;3000;41;2463;0;36472
206;2;1;0;0;3000;41;2463;0;36482
207;2;1;0;0;3000;41;2463;0;36492
208;2;1;0;0;3000;41;2463;0;36512
209;2;1;0;0;3000;41;2463;0;36522
210;2;1;0;0;3000;41;2463;0;36522
211;2;1;0;0;3000;41;2463;0;36532
212;2;1;0;0;3000;41;2463;0;36542
213;2;1;0;0;3000;41;2463;0;36552
214;2;1;0;0;3000;41;2463;0;36562
215;2;1;0;0;3000;41;2463;0;36572
216;2;1;0;0;3000;41;2463;0;36582
217;2;1;0;0;3000;41;2463;0;36602
218;2;1;0;0;3000;41;2463;0;36612
219;2;1;0;0;3000;41;2463;0;36612
220;2;1;0;0;3000;41;2463;0;36632
221;2;1;0;0;3000;41;2463;0;36642
222;2;1;0;0;3000;41;2463;0;36652
223;2;1;0;0;3000;41;2463;0;36662
224;2;1;0;0;3000;41;2463;0;36672
225;2;1;0;0;3000;41;2463;0;36682
226;2;1;0;0;3000;41;2463;0;36692
227;2;1;0;0;3000;41;2463;0;36712
228;2;1;0;0;3000;41;2463;0;36732
229;2;1;0;0;3000;41;2463;0;36732
230;2;1;0;0;3000;41;2463;0;36752
231;2;1;0;0;3000;41;2463;0;36752
232;2;1;0;0;3000;41;2463;0;36772
233;2;1;0;0;3000;41;2463;0;36772
234;2;1;0;0;3000;41;2463;0;36792
235;2;1;0;0;3000;41;2463;0;36812
236;2;1;0;0;3000;41;2463;0;36812
237;2;1;0;0;3000;41;2463;0;36822
238;2;1;0;0;3000;41;2463;0;36822
239;2;1;0;0;3000;41;2463;0;36832
240;2;1;0;0;3000;41;2463;0;36832
241;2;1;0;0;3000;41;2463;0;36842
242;2;1;0;0;3000;41;2463;0;36852
243;2;1;0;0;3000;41;2463;0;36862
244;2;1;0;0;3000;41;2463;0;36862
245;2;1;0;0;3000;41;2463;0;36872
246;2;1;0;0;3000;41;2463;0;36872
247;2;1;0;0;3000;41;2463;0;36882
248;2;1;0;0;3000;41;2463;0;36902
249;2;1;0;0;3000;41;2463;0;36912
250;2;1;0;0;3000;41;2463;0;36922
251;2;1;0;0;3000;41;2463;0;36922
252;2;1;0;0;3000;41;2463;0;36932
253;2;1;0;0;3000;41;2463;0;36932
254;2;1;0;0;3000;41;2463;0;36942
255;2;1;0;0;3000;41;2463;0;36942
256;2;1;0;0;3000;41;2463;0;36962
257;2;1;0;0;3000;41;2463;0;37002
258;2;1;0;0;3000;41;2463;0;37002
259;2;1;0;0;3000;41;2463;0;37012
260;2;1;0;0;3000;41;2463;0;37012
261;2;1;0;0;3000;41;2463;0;37022
262;2;1;0;0;3000;41;2463;0;37022
263;2;1;0;0;3000;41;2463;0;37032
264;2;1;0;0;3000;41;2463;0;37032
265;2;1;0;0;3000;41;2463;0;37042
266;2;1;0;0;3000;41;2463;0;37042
267;2;1;0;0;3000;41;2463;0;37052
268;2;1;0;0;3000;41;2463;0;37052
269;2;1;0;0;3000;41;2463;0;37062
270;2;1;0;0;3000;41;2463;0;37062
271;2;1;0;0;3000;41;2463;0;37072
272;2;1;0;0;3000;41;2463;0;37072
273;2;1;0;0;3000;41;2463;0;37092
274;2;1;0;0;3000;41;2463;0;37112
275;2;1;0;0;3000;41;2463;0;37122
276;2;1;0;0;3000;41;2463;0;37122
277;2;1;0;0;3000;41;2463;0;37132
278;2;1;0;0;3000;41;2463;0;37132
279;2;1;0;0;3000;41;2463;0;37142
280;2;1;0;0;3000;41;2463;0;37142
281;2;1;0;0;3000;41;2463;0;37152
282;2;1;0;0;3000;41;2463;0;37152
283;2;1;0;0;3000;41;2463;0;37162
284;2;1;0;0;3000;41;2463;0;37162
285;2;1;0;0;3000;41;2463;0;37172
286;2;1;0;0;3000;41;2463;0;37172
287;2;1;0;0;3000;41;2463;0;37182
288;2;1;0;0;3000;41;2463;0;37182
289;2;1;0;0;3000;41;2463;0;37202
290;2;1;0;0;3000;41;2463;0;37212
291;2;1;0;0;3000;41;2463;0;37212
292;2;1;0;0;3000;41;2463;0;37222
