data_id;hb_state;cm4_state;pp_thrust;av_alti;tvc_thrust;tvc_alti;tvc_vel;padding;time
0;2;0;2;-1782;2000;0;0;0;66772
1;2;0;-7;-1799;2000;0;0;0;66812
2;2;0;-7;-1781;2000;0;0;0;66812
3;2;0;0;-1857;2000;0;0;0;66842
4;2;0;-5;-1970;2000;0;0;0;66872
5;2;0;2;-1817;2000;0;0;0;66882
6;2;0;-1;-1918;2000;0;0;0;66902
7;2;1;0;-1818;3000;41;2463;0;66922
8;2;1;0;-1929;3000;41;2463;0;66952
9;2;1;6;-1935;3000;41;2463;0;66982
10;2;1;-1;-1971;3000;41;2463;0;67012
11;2;1;-5;-1968;3000;41;2463;0;67052
12;2;1;1;-2052;3000;41;2463;0;67082
13;2;1;4;-1855;3000;41;2463;0;67132
14;2;1;0;-1920;3000;41;2463;0;67152
15;2;1;-1;-1771;3000;41;2463;0;67192
16;2;1;-2;-1859;3000;41;2463;0;67222
17;2;1;-6;-2086;3000;41;2463;0;67252
18;2;1;3;-2090;3000;41;2463;0;67282
19;2;1;-6;-1927;3000;41;2463;0;67322
20;2;1;2;-2201;3000;41;2463;0;67342
21;2;1;0;-2040;3000;41;2463;0;67372
22;2;1;-1;-2155;3000;41;2463;0;67402
23;2;1;-1;-1991;3000;41;2463;0;67452
24;2;1;-3;-1867;3000;41;2463;0;67482
25;2;1;-2;-1984;3000;41;2463;0;67522
26;2;1;-5;-1872;3000;41;2463;0;67542
27;2;1;-5;-2018;3000;41;2463;0;67572
28;2;1;-2;-1800;3000;41;2463;0;67602
29;2;1;1;-2110;3000;41;2463;0;67642
30;2;1;1;-1914;3000;41;2463;0;67682
31;2;1;4;-1877;3000;41;2463;0;67702
32;2;1;-3;-1827;3000;41;2463;0;67742
33;2;1;3;-1890;3000;41;2463;0;67782
34;2;1;-6;-1979;3000;41;2463;0;67822
35;2;1;-2;-1942;3000;41;2463;0;67842
36;2;1;-6;-1959;3000;41;2463;0;67882
37;2;1;6;-1983;3000;41;2463;0;67902
38;2;1;-3;-1808;3000;41;2463;0;67932
39;2;1;-9;-1878;3000;41;2463;0;67962
40;2;1;0;-1998;3000;41;2463;0;68002
41;2;1;-6;-1884;3000;41;2463;0;68022
42;2;1;-3;-1931;3000;41;2463;0;68062
43;2;1;4;-2055;3000;41;2463;0;68102
44;2;1;6;-1972;3000;41;2463;0;68142
45;2;1;1;-1927;3000;41;2463;0;68162
46;2;1;-3;-1846;3000;41;2463;0;68202
47;2;1;0;-1839;3000;41;2463;0;68222
